epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,642.926,1.4608,3.83798,1.26124,0.7445,0.13798,0.18701,0.13532,1.05244,2.97295,0.98567,0.000121711,0.000121711,0.000121711
2,1299.06,1.24809,2.06219,1.18547,0.54246,0.60248,0.5711,0.4002,1.06858,1.35486,1.19148,0.000240192,0.000240192,0.000240192
3,1932.1,1.16296,1.36114,1.19509,0.73771,0.82033,0.8605,0.63036,0.99732,0.9861,1.14155,0.000353789,0.000353789,0.000353789
4,2585.47,1.14181,1.1333,1.18519,0.83432,0.86915,0.9236,0.66716,1.00991,0.84101,1.12277,0.000348022,0.000348022,0.000348022
5,3548,1.0806,0.9975,1.14955,0.91147,0.94304,0.9603,0.7158,0.95088,0.71306,1.07093,0.000340696,0.000340696,0.000340696
6,4207.84,1.06544,0.93963,1.13279,0.93882,0.95913,0.97504,0.72803,0.94885,0.68063,1.07962,0.00033337,0.00033337,0.00033337
7,4845.81,1.05479,0.90044,1.12259,0.92342,0.9732,0.98363,0.75028,0.94275,0.66506,1.06917,0.000326044,0.000326044,0.000326044
8,5482.26,1.02984,0.85612,1.11335,0.96346,0.95812,0.98121,0.73798,0.94981,0.62646,1.07072,0.000318718,0.000318718,0.000318718
9,6118.59,1.00782,0.826,1.09703,0.95715,0.97282,0.98492,0.73069,0.95709,0.60414,1.07731,0.000311392,0.000311392,0.000311392
10,6760.17,0.99918,0.79903,1.08549,0.91829,0.98299,0.98316,0.74718,0.94129,0.59181,1.04883,0.000304066,0.000304066,0.000304066
11,7400.06,1.00336,0.78371,1.0934,0.96332,0.98315,0.98388,0.74515,0.93202,0.57707,1.05549,0.00029674,0.00029674,0.00029674
12,8049.75,0.97928,0.77033,1.08206,0.97035,0.98345,0.98412,0.70402,1.01703,0.58642,1.06853,0.000289414,0.000289414,0.000289414
13,8818.87,0.98157,0.74981,1.0821,0.97006,0.98232,0.98318,0.75046,0.92182,0.55663,1.05805,0.000282088,0.000282088,0.000282088
